Entrepreneurs.as.individuals.are.admired.in.my.country,To.turn.a.new.idea.into.businesses.is.an.admired.career.path.in.my.country,Creative.thinking.is.viewed.as.a.route.to.success.in.my.country,People.in.my.country.tend.to.greatly.admire.those.who.start.their.own.businesses,Close.Family,Friends,Colleagues,Close.Family.1,Friends.1,Colleagues.1,How.hard.do.you.think.it.will.be.to.start.a.business.,How.certain.of.success.are.you.,How.overworked.would.you.be.,Do.you.know.enough.to.start.a.business.,How.sure.of.yourself.are.you.,I.would.love.doing.it.,How.tense.would.you.be.,How.enthusiastic.would.you.be.,I.feel.free.to.do.things.my.own.way,I.feel.pressured.in.my.life,I.generally.feel.free.to.express.my.ideas.and.opinions,In.my.daily.life.I.frequently.have.to.do.what.I.am.told,I.really.do.what.interests.me,I.have.to.do.things.against.my.will,I.like.to.take.bold.action.by.venturing.into.the.unknown,I.am.willing.to.invest.a.lot.of.time.and.or.money.on.something.that.might.yield.a.high.return,I.tend.to.act.â.œboldlyâ...in.situations.where.risk.is.involved,I.often.like.to.try.new.and.unusual.activities.that.are.not.typical.but.not.necessarily.risky,In.general..I.prefer.a.strong.emphasis.in.projects.on.unique..one.of.a.kind.approaches.rather.than.revisiting.tried.and.true.approaches.used.before,I.prefer.to.try.my.own.unique.way.when.learning.new.things.rather.than.doing.it.like.everyone.else.does,I.favour.experimentation.and.original.approaches.to.problem.solving.rather.than.using.methods.others.generally.use.for.solving.their.problems,I.usually.act.in.anticipation.of.future.problems..needs.or.changes,I.tend.to.plan.ahead.on.projects,I.prefer.to.â.œstep.upâ...and.get.things.going.on.projects.rather.than.sit.and.wait.for.someone.else.to.do.it,I.can.identify.potential.capital.sources.for.the.venture,I.can.develop.relationships.with.people.who.connect.to.sources.of.funds,I.can.find.market.information.for.the.products.of.my.venture,I.know.how.to.legally.protect.a.new.venture,I.can.create.products.that.fulfil.customersâ...unmet.needs,I.can.react.quickly.to.unexpected.changes,I.can.identify.new.areas.for.potential.growth.in.the.future,I.can.work.productively.in.stressful.situations,I.can.communicate.effectively.with.others,I.can.manage.cash.effectively,I.can.handle.personal.selling.effectively,I.can.manage.my.time.effectively,I.can.manage.risk.effectively,I.can.be.persistent.even.when.things.go.wrong,I.can.plan.for.the.future,I.have.the.necessary.abilities.to.start.a.new.business
6,5,6,6,6,7,7,7,6,6,2,4,6,5,6,4,6,5,7,5,5,6,7,7,5,6,6,6,5,6,6,5,6,6,6,5,7,7,5,6,5,6,7,7,7,7,7,7,7,7
5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,4,6,6,4,5,4,4,4,5,4,5,5,4,4,4,4,5,5,5,5,5,6,6,6,5,4,4,4,4,5,5
5,5,6,4,3,4,4,7,7,7,1,4,4,3,2,2,3,2,3,7,4,4,7,3,4,4,4,5,4,4,3,4,4,4,5,4,4,3,5,5,4,4,4,6,4,7,4,4,4,1
5,5,6,6,6,6,6,7,6,5,3,4,5,5,5,5,5,5,5,4,5,5,6,5,6,6,6,6,6,6,6,6,6,6,5,5,6,4,6,6,6,5,6,5,5,6,6,6,6,5
7,5,5,5,6,5,5,5,6,6,5,5,7,5,7,6,6,6,7,4,7,4,6,4,5,6,5,7,6,5,6,6,6,7,6,5,6,3,5,7,4,5,7,6,7,6,5,6,7,5
3,3,3,3,4,3,3,5,4,3,2,3,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,3,4,4,3,3,3,4,3,4,4,3,3,4,3
7,7,4,7,7,7,7,4,4,4,4,4,4,4,6,4,4,4,7,6,5,4,7,7,7,7,4,7,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
6,6,7,6,7,7,6,6,6,6,6,6,7,6,6,6,6,7,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,6,4,5,4,5,4,4,3,5,4,5
5,6,7,6,6,7,6,6,6,6,2,6,7,3,7,7,7,7,7,4,7,6,7,6,6,5,6,6,6,7,7,6,6,7,6,7,6,6,6,7,6,6,7,5,6,5,6,6,6,7
4,4,5,5,5,5,5,3,3,3,2,3,3,4,3,5,4,3,4,2,4,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,3,3
5,6,4,5,4,6,5,7,7,6,7,6,6,4,4,5,4,5,5,4,6,7,6,6,7,5,4,6,5,6,4,6,5,6,5,4,6,5,6,4,5,6,7,3,4,5,3,3,4,4
5,4,4,6,6,6,6,7,5,4,5,5,7,4,7,5,6,4,7,4,6,5,7,7,5,6,6,5,5,5,5,5,4,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5
7,7,7,5,6,6,6,5,7,6,2,4,6,5,6,6,4,4,7,6,6,6,6,4,6,6,7,7,6,6,5,7,5,6,5,4,5,5,3,6,5,5,6,5,4,7,7,6,5,7
6,5,6,6,6,5,4,7,6,6,1,6,6,5,7,6,5,3,7,6,6,5,6,5,6,5,6,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,7,7,7,7,5,7,7,5,7,6,7,7,5,6,7,7,7,7,4,7,7,7,3,7,7,6,7,6,7,6,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7
4,4,4,5,4,3,4,5,4,5,4,4,3,4,5,3,3,5,3,4,4,4,4,5,4,5,4,4,4,4,4,3,3,4,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5
7,7,6,6,7,7,7,7,7,7,1,4,7,1,5,7,6,7,4,7,7,4,7,4,7,7,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,6,6,7,7,7,7,7,7,1,4,7,1,5,7,6,7,4,7,7,4,7,4,7,7,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4,5,6,7,6,5,5,5,4,4,3,5,6,3,7,5,6,6,7,5,6,5,7,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,5,5,4,5,3,4,4,4,4,4,5
5,4,6,5,6,5,5,6,5,5,3,4,5,4,4,5,4,5,5,3,5,3,5,3,5,5,2,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,4,5,5,5,4,5
4,4,5,5,3,3,3,4,4,4,2,2,4,2,3,3,3,5,4,4,4,4,4,4,3,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,5,3
6,6,6,6,5,5,6,5,5,5,2,2,7,2,3,4,6,6,5,6,4,5,6,5,3,3,3,4,4,5,5,5,5,6,4,3,3,2,4,4,3,5,6,6,5,6,5,4,5,4
5,5,5,4,4,4,4,5,5,5,4,3,4,3,4,4,3,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,5,6,5,5,6,5,7,6,5,4,5,5,5,5,6,6,6,6,6,6,6,7,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6
6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,5,6,6,6,7,6,6,5,6,6,6,7,6,5,6,6,6,6,5,3,3,4,4,4,4,4,3,4,4
4,3,5,4,5,5,5,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,3,5,5,4,5,5,5,4,4,4,5
7,7,7,7,7,7,7,7,7,7,2,5,7,4,6,7,3,7,3,3,7,4,7,4,7,7,5,7,6,6,6,7,7,7,5,5,7,7,6,6,6,6,7,7,7,7,7,7,7,7
4,5,6,6,5,5,6,5,5,5,5,4,5,4,4,4,4,4,5,3,5,5,5,5,4,5,3,4,5,4,3,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4
7,6,6,7,7,5,4,6,4,4,2,6,6,7,7,7,6,6,5,1,6,6,6,4,6,6,5,6,6,6,6,4,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,6
2,2,2,2,2,2,2,2,2,2,1,2,5,3,3,1,1,7,7,7,6,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4
7,4,6,7,6,6,5,4,4,5,7,6,7,5,5,4,7,5,7,3,7,6,7,3,6,4,5,6,7,7,7,6,7,7,5,4,7,6,5,6,6,7,7,7,7,7,5,5,7,5
3,3,5,5,7,5,5,5,5,4,4,4,4,4,4,4,4,4,5,2,6,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,6,7,6,6,7,7
4,7,7,4,5,4,3,2,2,2,4,4,5,3,4,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,7,5,7,7,5,7,5
5,5,6,5,6,6,5,6,6,5,2,2,7,5,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7
6,6,6,6,6,5,6,7,6,6,4,4,7,3,6,7,6,5,7,3,7,6,7,6,5,6,6,6,5,7,6,6,6,7,6,6,6,6,6,5,6,5,5,7,6,7,6,6,7,6
6,5,7,7,7,7,6,7,5,5,7,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,5,6,5,6,6,6,6,6,6,4,3,6,4,6,6,5,5,5,3,6,5,6,7,5,7,6,7,7,6,6,6,7,7,5,7,6,6,7,5,6,5,7,6,6,5,5,5,5,7
7,7,7,7,6,6,6,6,6,6,4,5,5,5,5,6,5,5,5,5,5,3,5,3,5,5,5,6,7,7,7,7,7,7,7,7,7,5,5,5,6,5,4,4,5,4,4,4,5,5
5,5,5,5,6,7,7,7,5,5,1,4,4,1,3,3,2,2,4,5,3,4,5,3,3,1,1,3,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
7,5,6,6,6,6,6,6,6,5,4,5,6,5,5,6,5,6,7,5,7,6,6,6,6,6,5,6,6,6,6,5,7,5,4,7,6,6,7,5,6,6,5,6,3,3,6,6,6,7
7,6,6,7,6,6,6,6,5,5,2,5,4,3,5,6,6,4,5,3,6,6,6,4,3,5,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5
6,6,7,5,6,6,5,6,5,4,2,5,5,4,4,5,6,5,4,6,5,6,5,6,4,5,4,5,5,5,4,5,6,6,4,4,5,3,4,4,5,4,4,5,4,6,4,5,5,5
5,5,6,5,6,6,6,5,5,5,4,4,5,5,5,5,5,5,5,5,6,5,6,6,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,5,6,6,6,6,7,6,6,6
6,6,6,6,6,6,7,6,6,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5
5,5,7,7,7,4,4,5,4,4,1,5,7,3,3,5,5,7,5,5,5,4,5,5,4,4,4,5,4,5,5,5,5,6,4,4,4,4,5,5,5,4,3,3,3,4,3,3,4,5
5,6,7,7,6,6,6,6,7,6,5,2,7,6,5,6,7,6,5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,6,5,4,6,6,5
4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,5,4,5,5,5,5,1,3,4,2,4,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,3
5,5,5,5,6,6,5,6,5,5,3,6,6,5,5,6,3,3,5,3,5,5,6,5,5,6,6,5,5,5,5,6,5,6,5,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6
5,5,5,3,5,5,5,5,4,4,2,4,5,5,5,5,5,5,5,3,6,5,6,4,6,6,6,4,4,5,5,4,5,5,5,6,5,4,5,4,5,4,5,4,6,6,5,4,5,5
5,7,7,5,4,4,4,4,4,4,1,4,7,4,7,4,4,7,7,4,7,4,7,4,4,7,7,4,4,7,6,6,6,6,4,7,5,5,7,7,7,7,7,7,7,7,7,7,7,4
6,6,6,6,6,6,6,6,6,6,2,6,4,5,6,5,5,5,5,5,5,5,5,5,4,5,5,6,6,6,6,5,5,5,5,5,5,6,5,5,6,5,6,5,5,5,5,5,6,5
7,6,7,7,7,6,6,6,6,6,3,3,6,6,5,7,6,6,6,2,5,2,6,4,5,6,2,6,4,5,5,5,6,7,5,5,5,5,6,6,6,5,5,7,6,7,7,6,6,6
5,5,5,7,5,5,5,6,5,5,5,5,4,4,6,6,5,5,5,3,6,3,6,5,5,7,5,4,4,4,4,5,5,5,5,5,5,6,4,5,5,5,5,6,5,5,5,5,6,5
4,4,6,5,5,5,5,4,4,4,2,4,5,2,5,4,4,4,6,5,4,5,5,3,4,3,4,6,5,5,3,4,4,5,4,5,4,4,4,4,5,5,5,3,4,4,4,4,5,3
7,7,7,7,5,5,6,7,7,7,2,4,7,4,5,7,5,6,5,5,4,5,7,6,7,5,6,7,6,7,7,5,5,5,7,7,6,7,7,7,4,6,6,6,6,7,7,5,6,6
6,6,6,6,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4
6,5,6,6,5,5,5,6,6,6,3,4,4,2,3,3,3,3,4,3,3,4,4,2,4,3,4,5,5,4,4,5,5,5,5,4,3,3,3,3,3,3,3,5,3,5,3,4,4,3
4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,6,4,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,5
4,4,4,4,4,4,4,4,4,4,5,7,5,5,5,7,4,5,5,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,5,4
4,1,6,5,3,6,6,4,4,4,4,4,6,5,5,5,5,5,5,2,5,5,6,5,5,5,4,5,5,5,5,5,5,2,5,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5
5,6,5,6,6,6,5,6,6,6,1,3,3,3,4,4,4,4,3,2,4,5,5,3,4,5,4,4,4,3,3,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
6,6,6,7,6,6,6,5,6,6,3,5,5,5,5,5,5,6,6,4,6,6,6,5,5,5,6,5,5,5,5,5,4,5,5,5,5,5,5,6,6,5,5,6,5,4,6,5,5,5
7,7,7,5,7,7,7,7,7,7,3,5,6,5,5,7,5,6,7,5,7,6,6,2,6,7,6,6,6,7,6,6,7,7,5,6,7,6,7,7,7,6,7,6,7,6,6,6,7,5
5,7,7,5,4,5,3,7,4,4,1,5,6,3,5,5,3,4,6,4,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5
4,4,4,4,5,4,5,4,5,6,2,4,6,5,5,5,6,5,7,7,6,7,2,6,6,7,6,7,7,7,7,5,6,6,5,5,5,3,6,6,5,6,6,6,6,5,5,7,6,6
7,4,5,5,5,6,5,6,6,2,1,4,5,3,3,4,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,4,4,4
3,5,6,6,4,4,4,5,6,6,5,5,5,5,6,6,4,5,7,4,6,3,6,6,6,6,6,6,6,6,6,5,5,6,5,7,7,6,6,6,6,6,6,6,6,7,6,6,6,6
5,5,5,5,4,4,4,4,4,4,3,6,6,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,7,7,6,6,6,6,7,6,4,5,6,6,6,6,4,6,6,3,6,3,6,3,5,6,6,6,5,4,5,5,6,6,5,6,5,6,6,4,5,6,6,6,6,6,6,5,6,6
6,6,6,6,6,5,4,6,4,4,2,4,4,4,5,6,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,5,5,4,4,5,4,4,4,4,5
7,7,6,7,6,7,7,7,7,7,2,4,5,3,5,7,7,6,7,6,5,3,6,3,5,5,4,4,5,4,4,4,4,5,4,4,5,6,4,6,3,6,6,6,7,5,4,4,5,4
7,7,7,7,7,5,4,7,7,6,4,5,5,6,6,7,4,7,6,2,7,4,7,4,7,4,5,7,6,6,6,6,5,7,6,5,6,5,7,6,7,6,7,6,6,5,6,6,6,7
7,7,7,7,7,7,7,7,7,7,4,4,5,6,5,7,5,7,5,6,6,3,6,2,5,7,6,6,6,6,5,5,7,7,5,6,6,6,6,6,5,5,6,6,6,7,6,5,6,5
6,6,7,6,5,6,7,7,5,5,6,5,5,3,5,5,7,7,7,7,6,5,6,5,5,6,5,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,4,5,5,5
5,6,3,2,3,7,7,5,7,5,2,4,6,6,7,7,6,7,3,5,5,6,5,3,3,5,4,4,3,3,3,6,7,7,6,5,6,5,6,6,7,6,6,6,6,5,6,4,7,6
6,6,5,5,4,5,5,7,7,6,1,7,6,5,6,4,4,7,5,6,6,4,4,3,4,6,6,6,5,3,3,3,2,6,6,6,7,2,4,3,5,6,6,6,6,7,6,6,5,4
3,3,4,6,6,6,6,7,7,7,3,4,4,3,4,3,7,4,4,6,5,6,3,2,3,4,3,4,4,5,5,4,2,3,4,4,4,3,3,3,3,5,5,5,4,3,3,4,4,4
4,4,3,4,6,5,4,7,6,4,2,3,6,4,4,7,6,7,7,5,4,5,4,4,5,6,6,6,4,3,4,5,6,7,4,3,3,3,4,4,4,5,6,7,5,5,5,5,5,5
6,6,6,6,2,6,6,5,5,5,1,6,6,5,7,7,4,7,4,5,5,6,5,1,7,7,6,6,7,6,7,7,7,7,5,5,5,2,4,6,6,7,6,5,6,5,4,6,7,6
5,5,5,5,4,5,4,6,4,4,6,7,7,6,6,7,4,7,6,4,5,2,6,5,6,6,6,6,6,6,6,6,7,7,4,5,6,6,4,6,6,6,6,5,5,7,5,6,6,6
5,5,5,5,6,5,4,4,5,6,2,4,5,4,4,6,5,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,6,5,6,5,5,6,5,5,6,6
3,2,2,2,2,3,1,4,5,3,1,4,7,3,4,7,6,7,7,7,4,4,4,2,5,5,5,7,7,5,4,6,7,6,6,5,6,6,5,5,6,6,5,7,5,7,7,6,7,4
5,5,6,6,3,5,2,6,6,5,2,3,3,4,4,2,2,2,6,5,4,3,4,3,5,5,5,4,4,4,4,5,5,6,3,4,5,1,4,5,4,6,6,5,5,6,5,4,5,4
6,6,5,7,6,6,6,6,6,6,4,5,5,5,5,7,7,4,7,4,5,5,6,5,6,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,6,5,4,6,5
4,4,6,6,5,5,6,4,4,4,3,5,7,4,4,5,6,4,4,5,7,4,6,2,5,4,4,4,5,4,4,5,4,4,5,5,4,5,4,5,4,4,7,6,5,4,5,4,5,4
4,3,4,3,5,5,5,6,6,5,2,6,6,4,5,6,4,6,6,3,6,4,5,2,6,5,5,5,5,5,5,5,5,7,5,5,5,4,4,6,6,6,6,5,6,6,6,6,6,6
4,5,7,6,7,5,5,7,7,7,1,4,7,5,5,7,7,6,6,4,5,7,5,6,6,6,4,4,5,4,5,4,5,4,4,4,5,5,5,5,5,6,6,1,7,7,5,3,5,5
5,5,6,6,5,4,3,6,5,4,3,4,6,4,5,6,5,5,6,5,7,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,4,5,5,6,4,5,5,5,5
5,5,5,6,7,5,4,7,5,5,6,6,6,6,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,6,5,5,5,6,6,6,6,6,6,6,6,6,4,6,6,5,5,5,6
6,5,7,6,5,5,5,3,6,6,2,4,5,5,5,5,6,6,7,7,3,3,6,2,6,5,3,3,4,3,5,6,5,5,3,5,5,3,6,5,4,7,7,3,7,5,2,6,5,5
6,6,6,6,6,6,6,6,6,6,1,3,4,3,3,4,4,4,4,3,4,2,5,2,3,5,3,3,4,4,4,4,5,5,3,4,5,3,3,4,4,3,4,5,3,4,3,4,4,4
7,7,7,5,5,5,5,6,5,5,2,7,6,6,5,6,4,6,6,4,6,4,6,1,6,3,4,5,4,3,5,4,5,5,6,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6
7,7,5,7,6,6,6,7,7,7,6,5,6,5,5,6,4,7,4,7,5,4,2,6,6,6,6,6,7,5,5,6,6,7,5,7,7,5,6,7,6,6,7,6,5,6,5,7,7,6
6,5,7,7,6,5,5,3,6,4,5,5,6,5,5,6,5,5,6,2,7,5,7,3,5,6,5,5,5,7,7,6,7,7,6,7,6,6,5,7,6,7,7,6,6,6,6,7,6,5
3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,6,6,6,7,7,7,2,3,2,2,5,5,5,6,6,6,7,4,6,2,5,2,4,7,4,6,6,5,4,6,4,3,5,2,2,7,6,7,5,7,3,3,4,4,4,2
5,5,5,5,1,4,3,3,5,3,2,2,7,7,7,7,3,7,7,2,7,3,3,3,7,7,7,7,7,7,7,6,4,7,7,7,7,6,6,6,6,7,6,5,5,7,6,6,6,7
5,2,6,6,5,5,5,5,6,4,1,5,7,2,7,7,7,7,6,6,3,4,3,5,3,7,4,2,2,5,6,6,4,6,4,5,5,6,3,4,6,6,7,6,2,4,4,3,5,6
7,7,6,5,5,5,5,6,7,7,3,5,5,5,4,7,5,7,5,5,6,5,4,3,7,7,4,6,4,3,3,4,4,4,4,3,3,3,4,3,4,5,6,4,5,4,4,4,5,5
5,5,5,5,4,5,5,5,5,5,6,4,6,4,5,5,7,6,5,6,4,2,5,5,4,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,7,5,6,6,6,7,6
4,4,4,5,5,5,4,4,4,4,5,7,5,4,6,5,6,6,6,5,6,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5
5,5,4,6,5,5,5,5,5,5,3,5,4,3,3,5,5,5,5,5,5,5,3,5,6,5,5,5,4,4,4,4,3,5,3,3,3,2,5,4,5,4,5,5,4,4,3,4,4,4
4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,6,3,5,6,4,5,5,6,2,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,6,5,5,6,6,6,6,6,5,6,5
5,4,5,7,5,5,7,7,7,7,7,6,7,2,7,6,7,5,6,7,6,1,7,1,1,6,6,7,7,6,7,7,7,7,1,7,6,6,7,6,6,5,5,7,7,7,5,7,7,6
4,5,5,5,4,5,5,6,6,6,1,2,6,2,2,6,6,6,6,6,6,6,6,2,6,6,5,6,4,4,4,6,6,6,4,4,6,5,6,5,5,6,5,6,5,6,6,4,5,3
5,5,5,5,4,4,4,6,6,6,2,2,7,5,3,7,7,7,6,6,5,3,6,3,5,6,5,5,4,4,3,5,6,5,2,6,3,3,4,5,4,6,6,5,5,5,6,6,6,5
7,7,7,7,7,7,7,7,7,7,5,7,5,6,6,7,4,7,5,4,4,4,5,3,2,4,2,3,2,3,2,3,6,5,5,5,6,5,5,5,5,4,5,7,6,5,4,4,5,5
6,6,6,6,6,5,6,6,4,5,5,6,6,5,6,7,6,7,7,4,7,4,6,4,5,6,5,4,5,6,5,4,6,6,4,6,6,6,6,7,5,6,7,7,6,7,6,6,6,6
6,5,5,4,5,5,5,7,7,7,1,1,7,5,5,1,7,3,7,5,7,4,7,2,2,1,2,1,1,1,1,2,7,7,7,3,7,6,1,4,2,7,6,7,4,7,5,5,6,4
5,5,5,5,5,5,5,5,6,5,3,4,6,5,4,4,4,4,5,4,5,3,5,2,5,5,4,5,5,4,4,5,6,6,3,4,5,4,4,4,5,5,5,6,4,4,4,6,5,4
4,7,4,4,5,4,4,7,5,3,3,5,5,1,3,3,4,5,7,3,5,3,5,4,4,5,4,5,4,5,5,5,5,5,3,4,4,1,3,2,4,4,5,5,5,4,4,5,5,5
7,7,7,7,5,5,4,7,7,4,4,6,7,5,6,7,6,7,7,4,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4,4,6,4,4,4,6,5,5,6,1,2,6,2,5,4,6,4,6,4,6,4,6,3,3,4,3,6,4,5,5,7,7,3,5,4,1,2,4,5,4,7,7,7,4,6,5,6,6,3
6,6,6,6,6,5,7,6,6,7,2,4,7,7,6,6,7,6,6,6,5,5,5,2,6,6,6,5,6,5,6,6,5,6,6,6,6,4,6,6,6,7,7,5,7,6,6,6,6,6
6,4,3,4,6,5,6,7,6,6,2,2,7,3,6,6,5,7,6,5,6,4,6,5,6,4,3,6,5,5,6,6,6,6,5,6,5,6,5,4,6,6,6,5,6,4,4,4,5,6
3,3,3,2,1,3,4,2,4,3,7,2,7,1,1,5,7,7,5,7,7,1,4,1,4,2,1,1,3,3,3,7,7,7,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,4
4,5,2,3,2,5,5,2,6,4,2,7,6,7,7,7,4,6,7,5,7,1,6,1,7,7,7,5,7,4,4,3,3,7,6,3,6,6,7,6,7,7,5,6,5,7,6,7,5,7
5,5,4,5,7,6,6,7,4,6,2,7,7,5,7,7,5,7,6,6,7,6,7,7,5,5,5,7,6,5,7,7,7,7,5,5,7,5,7,7,7,7,7,7,6,6,6,6,7,7
6,6,6,6,6,6,6,6,6,6,1,2,7,4,5,7,7,6,6,6,6,2,6,2,6,6,6,6,6,5,6,6,6,6,2,5,6,1,4,5,5,6,6,4,4,6,6,6,6,3
5,4,5,6,6,5,4,5,4,4,3,6,6,5,6,6,5,6,5,5,5,6,5,4,5,5,4,6,4,5,5,6,6,6,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,6
7,7,7,7,7,7,7,7,7,7,3,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,7,5,6,5,6,6,4,5,6,6,6,5,5,6,5,6
7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,7,6,7,6,6,4,5,7,1,5,6,4,5,7,5,5,5,5,7,6,4,6,4,5,5,6,7,7,6,7,7,6,5,6,6
6,6,7,5,6,6,6,7,6,5,3,3,4,5,5,7,7,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,7,3,7,5,5,5,6,6,6,6,6,7,6,7,7,5,7,6,5,7,5,6,5,6,5,6,6,7,6,6,6,7,7,6,6,6,5,7,7,7,7,7,7,5,7,7,7,6,6
5,5,4,5,5,6,5,5,5,6,2,3,4,4,5,5,4,5,6,4,5,4,5,5,5,4,4,4,5,5,6,5,5,6,5,5,5,5,5,5,4,6,5,4,4,5,4,5,4,6
4,4,2,5,3,6,3,5,3,5,3,4,4,4,4,4,4,4,5,2,5,3,6,3,5,3,5,2,4,2,5,2,5,2,6,2,5,2,5,2,5,2,5,2,5,2,6,3,5,2
